Result,Delay (ms),HTTP requests
477,20604.102314,2236
478,20604.189698000002,2236
479,20604.195750000003,2236
480,20604.199948,2236
481,20604.209546000002,2236
482,20715.593741,2236
483,20715.608209,2236
484,20715.615012000002,2236
485,20715.620873,2236
486,20809.807391000002,2236
487,20809.825515,2236
488,20809.830946000002,2236
489,20809.835725,2236
490,20809.864419,2236
491,20809.869749,2236
492,20809.874478,2236
493,20809.88128,2236
494,20809.991759,2236
495,20809.999433,2236
496,20810.004793,2236
497,20810.009472,2236
498,20810.046702,2236
499,20810.052463,2236
500,20810.056350000003,2236
501,20810.060568,2236
502,20810.135379000003,2236
503,20810.194461000003,2236
504,20810.199981,2236
505,20810.2048,2236
506,20810.260084,2236
507,20810.265685000002,2236
508,20810.270103000003,2236
509,20810.280974,2236
510,20810.332270000003,2236
511,20810.370072,2236
512,20810.375632000003,2236
513,20810.380481,2236
514,20810.461795000003,2236
515,20810.467866000003,2236
516,20810.471964,2236
517,20810.476082,2236
518,20810.538579,2236
519,20810.54447,2236
520,20810.548819,2236
521,20810.553527,2236
522,20810.591900000003,2236
523,20810.599043000002,2236
524,20810.603401,2236
525,20810.607629000002,2236
526,20810.665729,2236
527,20810.671009,2236
528,20810.675968,2236
529,20810.680326,2236
530,20810.716935,2236
531,20810.735230000002,2236
532,20810.740981000003,2236
533,20810.747012,2236
534,20810.782489,2236
535,20810.787709,2236
536,20810.792107,2236
537,20810.797257000002,2236
538,20810.837513000002,2236
539,20810.842432,2236
540,20810.853252,2236
541,20810.858773,2236
542,20810.917213,2236
543,20810.922132,2236
544,20810.92623,2236
545,20810.931350000003,2236
546,20811.120276,2236
547,20811.124704,2236
548,20811.129894,2236
549,20811.139813,2236
550,20926.104688000003,2236
551,20926.124655,2236
552,20926.130056,2236
553,20926.134614000002,2236
554,20926.157167,2236
555,20926.161725,2236
556,20926.166083,2236
557,20926.171313000003,2236
558,20926.274959000002,2236
559,20926.28098,2236
560,20926.285198,2236
561,20926.292892,2236
562,20926.346433000002,2236
563,20926.351723,2236
564,20926.355581,2236
565,20926.359568,2236
566,20926.395045,2236
567,20926.399213,2236
568,20926.40322,2236
569,20926.407348,2236
570,20926.442374000002,2236
571,20926.446682,2236
572,20926.450209000002,2236
573,20926.455619,2236
574,20926.486638000002,2236
575,20926.491206000002,2236
576,20926.495104,2236
577,20926.499422,2236
578,20926.529739,2236
579,20926.534207,2236
580,20926.537974000003,2236
581,20926.541561000002,2236
582,20926.578501,2236
583,20926.582949,2236
584,20926.587277000002,2236
585,20926.591014,2236
586,20926.623936,2236
587,20926.628665,2236
588,20926.632733000002,2236
589,20926.63646,2236
590,20926.665856,2236
591,20926.669783,2236
592,20926.674792,2236
593,20926.67885,2236
594,20926.709267000002,2236
595,20926.715078,2236
596,20926.719176000002,2236
597,20926.727993,2236
598,20926.762608,2236
599,20926.767778,2236
600,20926.772136,2236
601,20926.775823,2236
602,20926.811971000003,2236
603,20926.815978000002,2236
604,20926.819615,2236
605,20926.826619000003,2236
606,21092.863182,2236
607,21092.878551,2236
608,21092.88344,2236
609,21092.889261,2236
610,21093.188104,2236
611,21093.193545000002,2236
612,21093.199175,2236
613,21093.202692000003,2236
614,21230.658963,2298
615,21230.676085000003,2298
616,21230.681665,2298
617,21230.686665,2298
618,21230.712053000003,2298
619,21230.719517,2298
620,21230.724957000002,2298
621,21230.730968,2298
